"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OD1","REM","EQD"
"99800999999","2021-01-03T08:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","130,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0009,1","+9999,9","99999,9",,,"5,99,0046,1,999","SYN040RPRN6 46/// /1307 10009 90800 333 91209=",
"99800999999","2021-01-03T09:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","100,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0010,1","+9999,9","99999,9",,,"5,99,0067,1,999","SYN040RPRN6 46/// /1011 10010 90850 333 91213=",
"99800999999","2021-01-03T10:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","110,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0007,1","+9999,9","99999,9",,,"5,99,0088,1,999","SYN040RPRN6 46/// /1113 10007 90940 333 91217=",
"99800999999","2021-01-03T11:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","140,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0009,1","+9999,9","99999,9",,,"5,99,0082,1,999","SYN040RPRN6 46/// /1412 10009 91050 333 91216=",
"99800999999","2021-01-03T12:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","110,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0009,1","+9999,9","99999,9",,,"5,99,0051,1,999","SYN040RPRN6 46/// /1109 10009 91140 333 91210=",
"99800999999","2021-01-03T13:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","100,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0007,1","+9999,9","99999,9",,,"5,99,0077,1,999","SYN040RPRN6 46/// /1012 10007 91240 333 91215=",
"99800999999","2021-01-03T14:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","110,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0007,1","+9999,9","99999,9",,,"5,99,0088,1,999","SYN040RPRN6 46/// /1114 10007 91340 333 91217=",
"99800999999","2021-01-03T15:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","130,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0010,1","+9999,9","99999,9",,,"5,99,0072,1,999","SYN040RPRN6 46/// /1312 10010 91440 333 91214=",
"99800999999","2021-01-03T16:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","120,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0009,1","+9999,9","99999,9",,,"5,99,0051,1,999","SYN040RPRN6 46/// /1209 10009 91540 333 91210=",
"99800999999","2021-01-03T17:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","120,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0009,1","+9999,9","99999,9",,,"5,99,0057,1,999","SYN040RPRN6 46/// /1209 10009 91650 333 91211=",
"99800999999","2021-01-03T18:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","140,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0010,1","+9999,9","99999,9",,,"5,99,0036,1,999","SYN040RPRN6 46/// /1405 10010 91800 333 91207=",
"99800999999","2021-01-03T19:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","140,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0013,1","+9999,9","99999,9",,,"5,99,0036,1,999","SYN040RPRN6 46/// /1406 10013 91840 333 91207=",
"99800999999","2021-01-03T20:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","130,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0020,1","+9999,9","99999,9",,,"5,99,0031,1,999","SYN040RPRN6 46/// /1306 10020 91940 333 91206=",
"99800999999","2021-01-03T21:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","150,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0025,1","+9999,9","99999,9",,,"5,99,0031,1,999","SYN040RPRN6 46/// /1505 10025 92040 333 91206=",
"99800999999","2021-01-03T22:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","230,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0030,1","+9999,9","99999,9",,,"5,99,0010,1,999","SYN040RPRN6 46/// /2302 10030 92140 333 91202=",
"99800999999","2021-01-03T23:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","180,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0028,1","+9999,9","99999,9",,,"5,99,0031,1,999","SYN040RPRN6 46/// /1805 10028 92250 333 91206=",
"99800999999","2021-01-04T00:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","220,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0027,1","+9999,9","99999,9",,,"5,99,0031,1,999","SYN040RPRN6 46/// /2205 10027 92340 333 91206=",
"99800999999","2021-01-04T01:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","270,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0026,1","+9999,9","99999,9",,,"5,99,0057,1,999","SYN040RPRN6 46/// /2706 10026 90100 333 91211=",
"99800999999","2021-01-04T02:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","260,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0024,1","+9999,9","99999,9",,,"5,99,0051,1,999","SYN040RPRN6 46/// /2608 10024 90140 333 91210=",
"99800999999","2021-01-04T03:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","260,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0022,1","+9999,9","99999,9",,,"5,99,0046,1,999","SYN040RPRN6 46/// /2606 10022 90240 333 91209=",
"99800999999","2021-01-04T04:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","270,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0022,1","+9999,9","99999,9",,,"5,99,0062,1,999","SYN040RPRN6 46/// /2710 10022 90350 333 91212=",
"99800999999","2021-01-04T05:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","270,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0021,1","+9999,9","99999,9",,,"5,99,0051,1,999","SYN040RPRN6 46/// /2707 10021 90440 333 91210=",
"99800999999","2021-01-04T06:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","280,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0020,1","+9999,9","99999,9",,,"5,99,0041,1,999","SYN040RPRN6 46/// /2806 10020 90540 333 91208=",
"99800999999","2021-01-04T07:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","280,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0019,1","+9999,9","99999,9",,,"5,99,0036,1,999","SYN040RPRN6 46/// /2806 10019 90640 333 91207=",
"99800999999","2021-01-04T08:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","300,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0018,1","+9999,9","99999,9",,,"5,99,0062,1,999","SYN040RPRN6 46/// /3009 10018 90800 333 91212=",
