"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OD1","REM"
"99800999999","2022-01-03T14:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","020,1,N,0057,1","99999,9,9,N","999999,9,9,9","-0088,1","+9999,9","10281,1",,"3,1,024,1,+999,9","5,99,0088,1,999","SYN052RPRN6 46/// /0211 11088 40281 53024 91400 333 91217="
"99800999999","2022-01-03T15:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","030,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0086,1","+9999,9","10288,1",,"3,1,027,1,+999,9","5,99,0051,1,999","SYN052RPRN6 46/// /0308 11086 40288 53027 91500 333 91210="
"99800999999","2022-01-03T16:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","330,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0085,1","+9999,9","10284,1",,"9,9,020,1,+999,9","5,99,0046,1,999","SYN052RPRN6 46/// /3306 11085 40284 50020 91600 333 91209="
"99800999999","2022-01-03T17:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","330,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0081,1","+9999,9","10281,1",,"9,9,000,1,+999,9","5,99,0041,1,999","SYN052RPRN6 46/// /3304 11081 40281 50000 91700 333 91208="
"99800999999","2022-01-03T18:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","310,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0079,1","+9999,9","10274,1",,"8,1,014,1,+999,9","5,99,0046,1,999","SYN052RPRN6 46/// /3106 11079 40274 58014 91800 333 91209="
"99800999999","2022-01-03T19:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","280,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0077,1","+9999,9","10274,1",,"6,1,010,1,+999,9","5,99,0062,1,999","SYN052RPRN6 46/// /2808 11077 40274 56010 91900 333 91212="
"99800999999","2022-01-03T20:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","260,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0071,1","+9999,9","10274,1",,"6,1,007,1,+999,9","5,99,0041,1,999","SYN052RPRN6 46/// /2604 11071 40274 56007 92000 333 91208="
"99800999999","2022-01-03T21:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","300,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0072,1","+9999,9","10274,1",,"4,1,000,1,+999,9","5,99,0051,1,999","SYN052RPRN6 46/// /3006 11072 40274 54000 92100 333 91210="
"99800999999","2022-01-03T22:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","250,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0079,1","+9999,9","10278,1",,"3,1,004,1,+999,9","5,99,0046,1,999","SYN052RPRN6 46/// /2507 11079 40278 53004 92200 333 91209="
"99800999999","2022-01-03T23:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","250,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0083,1","+9999,9","10278,1",,"2,1,004,1,+999,9","5,99,0041,1,999","SYN052RPRN6 46/// /2507 11083 40278 52004 92300 333 91208="
"99800999999","2022-01-04T00:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","240,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0085,1","+9999,9","10281,1",,"1,1,007,1,+999,9","5,99,0041,1,999","SYN052RPRN6 46/// /2406 11085 40281 51007 90000 333 91208="
"99800999999","2022-01-04T01:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","250,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0085,1","+9999,9","10284,1",,"3,1,006,1,+999,9","5,99,0041,1,999","SYN052RPRN6 46/// /2506 11085 40284 53006 90100 333 91208="
"99800999999","2022-01-04T02:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","240,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0083,1","+9999,9","10284,1",,"1,1,006,1,+999,9","5,99,0041,1,999","SYN052RPRN6 46/// /2408 11083 40284 51006 90200 333 91208="
"99800999999","2022-01-04T03:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","220,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0089,1","+9999,9","10284,1",,"1,1,003,1,+999,9","5,99,0046,1,999","SYN052RPRN6 46/// /2208 11089 40284 51003 90300 333 91209="
"99800999999","2022-01-04T04:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","210,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0090,1","+9999,9","10288,1",,"3,1,004,1,+999,9","5,99,0051,1,999","SYN052RPRN6 46/// /2108 11090 40288 53004 90400 333 91210="
