"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AT1","AT2","AT3","AU1","AU2","AW1","AW2","GA1","GA2","GA3","GD1","GD2","GD3","GD4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"74499404741","2020-06-13T22:55:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","020,5,N,0031,5","01829,5,M,N","024140,5,N,5","+0130,C","+0050,C","99999,9",,,,,,,,"07,5,+01829,5,99,9",,,"3,99,1,+01829,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,01829,1,99,9,99,9","10264,5,10125,5",,,,,"MET07206/13/20 17:55:02 METAR KSCH 132255Z 02006KT 15SM BKN060 13/05 A3031 RMK","R01    137TMP046R02    057DPT046"
"74499404741","2020-06-13T23:47:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","010,5,N,0036,5","22000,5,9,N","024140,5,N,5","+0120,C","+0040,C","99999,9",,,,,,,,"04,5,+01829,5,99,9",,,"2,99,1,+01829,5,9",,,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01829,1,99,9,99,9","10271,5,10132,5",,,,,"MET07206/13/20 18:47:02 METAR KSCH 132347Z 01007KT 15SM SCT060 12/04 A3033 RMK","R01    127TMP046R02    047DPT046D01      0ADE726"
"74499404741","2020-06-14T00:49:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","350,5,N,0015,5","22000,5,9,N","024140,5,N,5","+0110,C","+0050,C","99999,9",,,,,,,,"04,5,+01829,5,99,9",,,"2,99,1,+01829,5,9",,,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01829,1,99,9,99,9","10274,5,10135,5",,,,,"MET07706/13/20 19:49:01 METAR KSCH 140049Z 35003KT 15SM SCT060 11/05 A3034 RMK LAST","R01    117TMP046R02    057DPT046D01      0ADE726"
"74499404741","2020-06-14T11:52:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","999,9,C,0000,5","07620,5,M,N","024140,5,N,5","+0100,C","+0080,C","99999,9",,,,,,,,"04,5,+01372,5,99,9","07,5,+07620,5,99,9",,"2,99,1,+01372,5,9","3,99,1,+07620,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,01372,1,99,9,99,9","10301,5,10162,5",,,,,"MET08506/14/20 06:52:02 METAR KSCH 141152Z 00000KT 15SM SCT045 BKN250 10/08 A3042 RMK FIRST","R01    107TMP046R02    087DPT046"
"74499404741","2020-06-14T12:53:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","999,9,C,0000,5","07620,5,M,N","024140,5,N,5","+0110,C","+0080,C","99999,9",,,,,,,,"04,5,+01372,5,99,9","07,5,+07620,5,99,9",,"2,99,1,+01372,5,9","3,99,1,+07620,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,01372,1,99,9,99,9","10305,5,10165,5",,,,,"MET07906/14/20 07:53:02 METAR KSCH 141253Z 00000KT 15SM SCT045 BKN250 11/08 A3043 RMK","R01    117TMP046R02    087DPT046"
"74499404741","2020-06-14T13:49:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","060,5,N,0021,5","07620,5,M,N","024140,5,N,5","+0130,C","+0080,C","99999,9",,,,,,,,"02,5,+01372,5,99,9","07,5,+07620,5,99,9",,"1,99,1,+01372,5,9","3,99,1,+07620,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,01372,1,99,9,99,9","10308,5,10169,5",,,,,"MET07906/14/20 08:49:02 METAR KSCH 141349Z 06004KT 15SM FEW045 BKN250 13/08 A3044 RMK","R01    137TMP046R02    087DPT046"
"74499404741","2020-06-14T14:46:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","030,5,N,0036,5","22000,5,9,N","024140,5,N,5","+0160,C","+0070,C","99999,9",,,,,,,,"04,5,+01372,5,99,9","04,5,+07620,5,99,9",,"2,99,1,+01372,5,9","2,99,1,+07620,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01372,1,99,9,99,9","10308,5,10169,5",,,,,"MET07906/14/20 09:46:02 METAR KSCH 141446Z 03007KT 15SM SCT045 SCT250 16/07 A3044 RMK","R01    167TMP046R02    077DPT046D01      0ADE726"
"74499404741","2020-06-14T15:55:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","030,5,N,0021,5","22000,5,9,N","024140,5,N,5","+0180,C","+0050,C","99999,9",,,,,,,,"04,5,+01372,5,99,9","04,5,+07620,5,99,9",,"2,99,1,+01372,5,9","2,99,1,+07620,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01372,1,99,9,99,9","10305,5,10165,5",,,,,"MET07906/14/20 10:55:02 METAR KSCH 141555Z 03004KT 15SM SCT045 SCT250 18/05 A3043 RMK","R01    187TMP046R02    057DPT046D01      0ADE726"
"74499404741","2020-06-14T16:55:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","030,5,N,0021,5","07620,5,M,N","024140,5,N,5","+0170,C","+0060,C","99999,9",,,,,,,,"04,5,+01524,5,99,9","07,5,+07620,5,99,9",,"2,99,1,+01524,5,9","3,99,1,+07620,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,01524,1,99,9,99,9","10298,5,10159,5",,,,,"MET07906/14/20 11:55:02 METAR KSCH 141655Z 03004KT 15SM SCT050 BKN250 17/06 A3041 RMK","R01    177TMP046R02    067DPT046"
"74499404741","2020-06-14T17:50:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","999,9,C,0000,5","01524,5,M,N","024140,5,N,5","+0180,C","+0050,C","99999,9",,,,,,,,"07,5,+01524,5,99,9","08,5,+01829,5,99,9",,"3,99,1,+01524,5,9","4,99,1,+01829,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,01524,1,99,9,99,9","10295,5,10155,5",,,,,"MET07906/14/20 12:50:02 METAR KSCH 141750Z 00000KT 15SM BKN050 OVC060 18/05 A3040 RMK","R01    187TMP046R02    057DPT046"
