"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","SA1","REM"
"99729699999","2020-08-02T08:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","200,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0269,1","+9999,9","10111,1","6,1,012,1,+999,9","5,99,0031,1,999",,"SYN068BLTM2 46/// /2003 10269 40111 56012 90800 333 91206 555 11003 22003="
"99729699999","2020-08-02T09:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","220,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0265,1","+9999,9","10109,1","6,1,011,1,+999,9","5,99,0051,1,999","+286,1","SYN080BLTM2 46/// /2206 10265 40109 56011 90900 222// 00286 333 91210 555 11006 22007="
"99729699999","2020-08-02T10:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","210,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0261,1","+9999,9","10113,1","5,1,000,1,+999,9","5,99,0051,1,999","+286,1","SYN080BLTM2 46/// /2105 10261 40113 55000 91000 222// 00286 333 91210 555 11005 22005="
"99729699999","2020-08-02T11:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","220,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0260,1","+9999,9","10116,1","3,1,005,1,+999,9","5,99,0036,1,999","+286,1","SYN080BLTM2 46/// /2204 10260 40116 53005 91100 222// 00286 333 91207 555 11004 22004="
"99729699999","2020-08-02T12:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","220,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0263,1","+9999,9","10118,1","1,1,009,1,+999,9","5,99,0031,1,999","+286,1","SYN080BLTM2 46/// /2203 10263 40118 51009 91200 222// 00286 333 91206 555 11003 22003="
"99729699999","2020-08-02T13:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","220,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0267,1","+9999,9","10122,1","3,1,009,1,+999,9","5,99,0031,1,999","+286,1","SYN080BLTM2 46/// /2204 10267 40122 53009 91300 222// 00286 333 91206 555 11004 22004="
"99729699999","2020-08-02T14:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","260,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0279,1","+9999,9","10121,1","2,1,005,1,+999,9","5,99,0031,1,999","+287,1","SYN080BLTM2 46/// /2603 10279 40121 52005 91400 222// 00287 333 91206 555 11003 22003="
"99729699999","2020-08-02T15:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","180,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0289,1","+9999,9","10120,1","9,9,000,1,+999,9","5,99,0031,1,999","+288,1","SYN080BLTM2 46/// /1803 10289 40120 50000 91500 222// 00288 333 91206 555 11003 22004="
"99729699999","2020-08-02T16:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","160,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0288,1","+9999,9","10117,1","8,1,005,1,+999,9","5,99,0046,1,999","+289,1","SYN080BLTM2 46/// /1608 10288 40117 58005 91600 222// 00289 333 91209 555 11008 22009="
"99729699999","2020-08-02T17:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","230,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0309,1","+9999,9","10112,1","8,1,009,1,+999,9","5,99,0036,1,999","+289,1","SYN080BLTM2 46/// /2304 10309 40112 58009 91700 222// 00289 333 91207 555 11004 22005="
