"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","OD1","REM","EQD"
"99800999999","2020-01-02T16:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","200,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0063,1","+9999,9","99999,9",,"5,99,0093,1,999","SYN040RPRN6 46/// /2014 10063 91540 333 91218=",
"99800999999","2020-01-02T17:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","210,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0077,1","+9999,9","99999,9",,"5,99,0098,1,999","SYN040RPRN6 46/// /2111 10077 91700 333 91219=",
"99800999999","2020-01-02T18:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","210,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0083,1","+9999,9","99999,9",,"5,99,0088,1,999","SYN040RPRN6 46/// /2112 10083 91740 333 91217=",
"99800999999","2020-01-02T19:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","220,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0091,1","+9999,9","99999,9",,"5,99,0072,1,999","SYN040RPRN6 46/// /2209 10091 91840 333 91214=",
"99800999999","2020-01-02T20:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","210,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0091,1","+9999,9","99999,9",,"5,99,0067,1,999","SYN040RPRN6 46/// /2108 10091 91940 333 91213=",
"99800999999","2020-01-02T21:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","230,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0093,1","+9999,9","99999,9",,"5,99,0098,1,999","SYN040RPRN6 46/// /2313 10093 92040 333 91219=",
"99800999999","2020-01-02T22:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","210,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0089,1","+9999,9","99999,9",,"5,99,0062,1,999","SYN040RPRN6 46/// /2109 10089 92140 333 91212=",
"99800999999","2020-01-02T23:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","200,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0082,1","+9999,9","99999,9",,"5,99,0026,1,999","SYN040RPRN6 46/// /2003 10082 92240 333 91205=",
"99800999999","2020-01-03T00:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","190,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0076,1","+9999,9","99999,9",,"5,99,0026,1,999","SYN040RPRN6 46/// /1904 10076 92340 333 91205=",
"99800999999","2020-01-03T01:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","220,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0083,1","+9999,9","99999,9",,"5,99,0093,1,999","SYN040RPRN6 46/// /2212 10083 90040 333 91218=",
"99800999999","2020-01-03T02:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","230,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0082,1","+9999,9","99999,9",,"5,99,0072,1,999","SYN040RPRN6 46/// /2311 10082 90200 333 91214=",
"99800999999","2020-01-03T03:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","210,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0082,1","+9999,9","99999,9",,"5,99,0082,1,999","SYN040RPRN6 46/// /2110 10082 90240 333 91216=",
"99800999999","2020-01-03T04:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","200,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0073,1","+9999,9","99999,9",,"5,99,0057,1,999","SYN040RPRN6 46/// /2008 10073 90340 333 91211=",
